movie_id,title,year
1571,When the Cats Away,1996
1642,Indian Summer,1996
1646,Rocket Man,1997
1659,Hurricane Streets,1998
1664,Nénette et Boni,1996
1679,Chairman of the Board,1998
1692,Alien Escape,1995
1697,The Big Bang Theory,1994
1699,The Butcher Boy,1998
1706,Harlem River Drive,1996
1710,Man of Her Dreams,1996
1713,Mouse Hunt,1997
1716,"Other Voices, Other Rooms",1997
1720,Time Tracers,1995
1734,My Life in Pink,1997
1739,3 Ninjas: High Noon On Mega Mountain,1998
1743,Arguing the World,1996
1757,Duoluo tianshi,1995
1768,Mat' i syn,1997
1780,Ayn Rand: A Sense of Life,1997
1781,A Further Gesture,1996
1782,Little City,1998
1792,U.S. Marshalls,1998
1795,"Callejón de los milagros, El",1995
1809,Hana-bi,1997
1819,Storefront Hitchcock,1997
1825,The Player's Club,1998
1830,Follow the Bitch,1998
1850,"I Love You, Don't Touch Me!",1998
1852,Love Walked In,1998
1865,Wild Man Blues,1998
1868,The Truce,1996
1899,Passion in the Desert,1998
1900,The Children of Heaven,1997
1924,Plan 9 from Outer Space,1958
1955,Kramer Vs. Kramer,1979
1966,Metropolitan,1990
1969,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985
1976,Friday the 13th Part 3: 3D,1982
1978,Friday the 13th Part V: A New Beginning,1985
1980,Friday the 13th Part VII: The New Blood,1988
1984,Halloween III: Season of the Witch,1983
1989,Prom Night III: The Last Kiss,1989
1990,Prom Night IV: Deliver Us From Evil,1992
1993,Child's Play 3,1992
2008,"This World, Then the Fireworks",1996
2010,Metropolis,1926
2014,Freaky Friday,1977
2029,Billy's Hollywood Screen Kiss,1997
2030,East Palace West Palace,1997
2031,"$1,000,000 Duck",1971
2040,The Computer Wore Tennis Shoes,1970
2085,101 Dalmatians,1961
2092,The Return of Jafar,1993
2098,Son of Flubber,1963
2102,Steamboat Willie,1940
2103,Tall Tale,1994
2129,The Saltmen of Tibet,1997
2155,The Slums of Beverly Hills,1998
2157,The Chambermaid on the Titanic,1998
2159,Henry: Portrait of a Serial Killer,1990
2163,Attack of the Killer Tomatoes!,1980
2173,The Navigator: A Mediaeval Odyssey,1988
2213,Waltzes from Vienna,1933
2214,Number Seventeen,1932
2215,Rich and Strange,1932
2218,Juno and Paycock,1930
2227,The Lodger,1926
2233,Digging to China,1998
2238,Seven Beauties,1976
2239,Swept Away,1975
2258,Master Ninja I,1984
2274,Lilian's Story,1995
2277,Somewhere in the City,1997
2292,Overnight Delivery,1996
2299,The Battle of the Sexes,1959
2319,Reach the Rock,1997
2330,Hands on a Hard Body,1996
2343,The Naked Man,1998
2386,Jerry Springer: Ringmaster,1998
2399,Santa Claus: The Movie,1985
2444,24 7: Twenty Four Seven,1997
2452,The Gate II: Trespassers,1990
2462,The Return of the Texas Chainsaw Massacre,1994
2484,Tinseltown,1998
2486,24-hour Woman,1998
2495,The Fantastic Planet,1973
2512,The Ballad of Narayama,1982
2516,Children of the Corn III,1994
2519,House on Haunted Hill,1958
2542,"Lock, Stock & Two Smoking Barrels",1998
2554,Children of the Damned,1963
2564,The Empty Mirror,1999
2585,The Lovers of the Arctic Circle,1998
2586,"Goodbye, Lover",1999
2588,Clubland,1998
2602,Mighty Peking Man,1977
2609,The King of Masks,1996
2611,The Winslow Boy,1998
2665,Earth Vs. the Flying Saucers,1956
2674,The Loss of Sexual Innocence,1999
2678,Desert Blue,1999
2679,Finding North,1999
2684,Taxman,1999
2696,The Dinner Game,1998
2697,My Son the Fanatic,1998
2698,Zone 39,1997
2700,"South Park: Bigger, Longer and Uncut",1999
2708,An Autumn Tale,1998
2732,Jules and Jim,1961
2740,The Kindred,1986
2748,Allan Quartermain and the Lost City of Gold,1987
2754,Deadtime Stories,1987
2768,Stiff Upper Lips,1998
2769,The Yards,1999
2776,"Marcello Mastroianni: I Remember Yes, I Remember",1997
2783,The Tomb of Ligeia,1965
2800,Little Nemo: Adventures in Slumberland,1992
2818,Iron Eagle IV,1995
2837,Bedrooms & Hallways,1998
2845,White Boys,1999
2848,Othello,1952
2851,Saturn 3,1979
2862,Caligula,1980
2868,Fright Night Part II,1989
2879,Operation Condor,1990
2880,Operation Condor 2,1990
2897,And the Ship Sails On,1984
2910,"Ennui, L'",1998
2913,The Mating Habits of the Earthbound Human,1998
2921,High Plains Drifter,1972
2922,Hang 'em High,1967
2923,Citizen's Band,1977
2927,Brief Encounter,1946
2931,Time of the Gypsies,1989
2934,A Love Bewitched,1986
2936,Sullivan's Travels,1942
2952,Hard 8,1996
2960,Beefcake,1999
2972,Red Sorghum,1987
2980,Men Cry Bullets,1997
2995,The House on Haunted Hill,1999
2998,Dreaming of Joseph Lees,1998
3000,The Princess Mononoke,1997
3009,Portraits Chinois,1996
3022,The General,1927
3027,Slaughterhouse 2,1988
3042,Meatballs III,1987
3057,Where's Marlowe?,1999
3059,British Intelligence,1940
3064,Poison Ivy: New Seduction,1997
3065,Ten Benny,1997
3070,The Adventures of Buckaroo Bonzai Across the 8th Dimension,1984
3071,Stand and Deliver,1987
3084,Home Page,1999
3089,The Bicycle Thief,1948
3123,Spring Fever USA,1989
3140,The Three Ages,1923
3145,The Cradle Will Rock,1999
3158,The Emperor and the Assassin,1999
3164,The Alley Cats,1968
3169,The Falcon and the Snowman,1984
3171,Room at the Top,1959
3177,Next Friday,1999
3189,My Dog Skip,1999
3202,Even Dwarfs Started Small,1971
3216,Vampyros Lesbos,1970
3226,Hellhounds on My Trail,1999
3227,"Not Love, Just Frenzy",1996
3229,Another Man's Poison,1952
3234,Train Ride to Hollywood,1978
3242,Santitos,1997
3267,"Mariachi, El",1992
3303,Black Tar Heroin: The Dark End of the Street,1999
3309,A Dog's Life,1920
3312,The McCullochs,1975
3318,Deterrence,1998
3321,The Waiting Game,2000
3327,Beyond the Mat,2000
3336,It Happened Here,1961
3337,I'll Never Forget What's 'is Name,1967
3340,Bride of the Monster,1956
3345,"The Charlie, the Lonesome Cougar",1967
3348,The Night Visitor,1970
3353,The Closer You Get,2000
3355,The Ninth Gate,2000
3366,Where Eagles Dare,1969
3374,Daughters of the Dust,1992
3376,The Fantastic Night,1949
3407,The Carriers Are Waiting,1999
3415,The Mirror,1975
3416,The Trial,1963
3429,Creature Comforts,1990
3457,Waking the Dead,1999
3464,Solar Crisis,1993
3470,Dersu Uzala,1974
3472,Horror Hotel,1960
3487,"Dorado, El",1967
3488,The Hideous Sun Demon,1959
3515,Me Myself I,2000
3522,Sacco and Vanzetti,1971
3540,Passion of Mind,1999
3554,Love and Basketball,2000
3560,Phantom Love,1978
3561,Stacy's Knights,1982
3566,The Big Kahuna,2000
3567,Bossa Nova,1999
3568,Smiling Fish and Goat on Fire,1999
3571,Time Code,2000
3577,Two Moon Juction,1988
3592,Time Masters,1982
3595,Held Up,2000
3602,G. I. Blues,1960
3626,8 1/2 Women,1999
3630,The House of Exorcism,1974
3631,It's in the Water,1998
3647,Running Free,2000
3650,Anguish,1986
3655,Blow-Out,1973
3659,Quatermass II,1957
3666,Retro Puppetmaster,1999
3667,Rent-A-Cop,1988
3670,The Story of G.I. Joe,1945
3687,Light Years,1988
3693,The Toxic Avenger,1985
3703,Mad Max 2,1981
3707,Nine 1/2 Weeks,1986
3721,Trixie,1999
3722,Live Virgin,1999
3736,The Big Carnival,1951
3742,The Battleship Potemkin,1925
3752,"Me, Myself and Irene",2000
3754,The Adventures of Rocky and Bullwinkle,2000
3762,Daughter of Dr. Jeckyll,1957
3764,F/X 2,1992
3771,The Golden Voyage of Sinbad,1974
3772,Hatchet For the Honeymoon,1969
3788,Blowup,1966
3789,The Pawnbroker,1965
3796,The Wisdom of Crocodiles,2000
3799,Pokémon the Movie 2000,2000
3808,Two Women,1961
3822,The Girl on the Bridge,1999
3842,Make Them Die Slowly,1980
3847,"Ilsa, She Wolf of the SS",1974
3850,Whatever Happened to Aunt Alice?,1969
3869,The Naked Gun 2 1/2: The Smell of Fear,1991
3876,Jerry & Tom,1998
3883,Catfish in Black Bean Sauce,2000
3890,Back Stage,2000
3900,Crime and Punishment in Suburbia,2000
3904,An Uninvited Guest,2000
3907,The Prince of Central Park,1999
3930,The Creature From the Black Lagoon,1954
3935,Kronos,1973
3936,The Phantom of the Opera,1943
3939,The Slumber Party Massacre II,1987
3940,The Slumber Party Massacre III,1990
