movie_id,title,year,rated,plot,imdb_rating,imdb_id
20,Money Train,1995,1,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",5.7,tt0113845
21,Get Shorty,1995,1,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,6.9,tt0113161
22,Copycat,1995,1,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,6.6,tt0112722
23,Assassins,1995,1,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,6.3,tt0112401
24,Powder,1995,3,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,6.6,tt0114168
25,Leaving Las Vegas,1995,1,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.5,tt0113627
26,Othello,1995,1,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",6.8,tt0114057
27,Now and Then,1995,3,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.,6.8,tt0114011
28,Persuasion,1995,2,"Anne, the daughter of a financially troubled aristocratic family, is persuaded to break off her engagement to Frederick, a young sea captain of meager means. Years later, Anne is again thrown into company with Frederick, who is no...",7.7,tt0114117
29,The City of Lost Children,1995,1,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.4,tt0112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,1,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,7.1,tt0115012
31,Dangerous Minds,1995,1,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",6.5,tt0112792
33,Wings of Courage,1995,4,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",6.4,tt0114952
34,Babe,1995,4,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",6.9,tt0112431
35,Carrington,1995,1,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.,6.8,tt0112637
36,Dead Man Walking,1995,1,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.5,tt0112818
37,Across the Sea of Time,1995,4,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...",6.4,tt0112286
38,It Takes Two,1995,2,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",6.0,tt0113442
39,Clueless,1995,3,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",6.9,tt0112697
40,"Cry, the Beloved Country",1995,3,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",6.8,tt0112749
41,Richard III,1995,1,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,7.3,tt0114279
42,Dead Presidents,1995,1,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.9,tt0112819
43,Restoration,1995,1,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.6,tt0114272
44,Mortal Kombat,1995,3,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,5.8,tt0113855
45,To Die For,1995,1,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,6.8,tt0114681
46,How to Make an American Quilt,1995,3,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,6.3,tt0113347
48,Pocahontas,1995,4,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7,tt0114148
49,When Night Is Falling,1995,,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.5,tt0114916
50,The Usual Suspects,1995,1,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5,tt0114814
51,Guardian Angel,1994,1,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before.",5.0,tt0109950
52,Mighty Aphrodite,1995,1,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",7.0,tt0113819
53,Lamerica,1994,,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...",7.4,tt0110299
54,The Big Green,1995,2,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",5.5,tt0112499
55,Georgia,1995,1,Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,6.5,tt0113158
56,Kids of the Round Table,1995,,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun a...",5.1,tt0113541
57,Home for the Holidays,1995,3,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...",6.6,tt0113321
59,"Confessional, The (Le Confessionnal)",1995,,"The year is 1952, in Québec City, Québec. Rachel (Suzanne Clément), sixteen, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young Priest under the confidentiality of the confessional....",7.4,tt0112714
60,The Indian in the Cupboard,1995,2,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",6.0,tt0113419
61,Eye for an Eye,1996,1,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.2,tt0116260
62,Mr. Holland's Opus,1995,2,A frustrated composer finds fulfillment as a high school music teacher.,7.3,tt0113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,1,"A parody of several U.S. films about being in the ""'hood"", for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995), and Juice (1992).",6.5,tt0116126
64,Two if by Sea,1996,1,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",5.3,tt0118002
65,Bio-Dome,1996,3,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4,tt0115683
67,Two Bits,1995,3,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",6.1,tt0114753
68,French Twist (Gazon maudit),1995,1,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4,tt0113149
69,Friday,1995,1,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",7.2,tt0113118
70,From Dusk Till Dawn,1996,1,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",7.2,tt0116367
71,Fair Game,1995,1,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",4.4,tt0113010
72,Kicking and Screaming,1995,1,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",6.6,tt0113537
73,"Misérables, Les",1995,1,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,7.4,tt0113828
74,Bed of Roses,1996,2,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,6.1,tt0115644
75,Big Bully,1996,2,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",4.8,tt0115676
76,Screamers,1995,1,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...",6.3,tt0114367
77,Nico Icon,1995,,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...",7.2,tt0113973
78,The Crossing Guard,1995,1,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,6.3,tt0112744
79,The Juror,1996,1,A juror in a Mafia trial is forced by a compulsive mob enforcer to convince the other jurors to vote not guilty.,5.7,tt0116731
80,"White Balloon, The (Badkonake Sefid)",1995,,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,7.6,tt0112445
81,Things to Do in Denver when You're Dead,1995,1,Five different criminals face imminent death after botching a job quite badly.,6.7,tt0114660
82,Antonia's Line (Antonia),1995,1,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",7.4,tt0112379
83,Once Upon a Time... When We Were Colored,1995,2,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,7.4,tt0114039
84,Last Summer in the Hamptons,1995,1,"This moving story was the swan song of actress Viveca Lindfors, who died unexpectedly soon after completing it. It's a fitting tribute, as the film explores the last performance in the ancestral home of a large family of actors.",5.8,tt0113612
85,Angels and Insects,1995,1,In the 1800s a naturalist marries into a family of British country gentry.,6.8,tt0112365
86,White Squall,1996,3,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,6.6,tt0118158
87,Dunston Checks In,1996,2,A young boy befriends a larcenous orangutan in a luxury hotel.,5.4,tt0116151
88,Black Sheep,1996,3,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,6.2,tt0115697
89,Nick of Time,1995,1,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",6.3,tt0113972
90,The Journey of August King,1995,3,"August is a widower and is on his way home after selling his homemade products and buying the supplies and goods he needs for the coming year. On his journey, he meets a runaway slave girl.",6.5,tt0113490
92,Mary Reilly,1996,1,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",5.8,tt0117002
93,Vampire in Brooklyn,1995,1,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,4.7,tt0114825
94,Beautiful Girls,1996,1,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,7.1,tt0115639
95,Broken Arrow,1996,1,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,6.1,tt0115759
97,"Hate (Haine, La)",1995,,Animated pilot based on the Peter Bagge comic book series.,,tt3906624
98,Shopping,1994,1,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'",5.4,tt0111173
99,Heidi Fleiss: Hollywood Madam,1995,,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...",6.6,tt0113283
100,City Hall,1996,1,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",6.2,tt0115907
101,Bottle Rocket,1996,1,Three friends plan to pull off a simple robbery and go on the run.,6.9,tt0115734
102,Mr. Wrong,1996,3,"A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature.",3.8,tt0117102
103,Unforgettable,1996,1,A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his wife's brutal murder.,6.0,tt0118040
104,Happy Gilmore,1996,3,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",7.0,tt0116483
105,The Bridges of Madison County,1995,3,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,7.6,tt0112579
106,Nobody Loves Me (Keiner liebt mich),1994,,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing on her. She is obsessed with death and even visits evening classes on dying, so it seems fitting that she encounters a skeleton in the malfunctio...",7.2,tt0110251
107,Muppet Treasure Island,1996,4,"The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.",6.9,tt0117110
108,Catwalk,1995,,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York in 1994. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan...",7.1,tt0112646
109,Headless Body in Topless Bar,1995,,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course with death. Inspired by the events that sp...",4.8,tt0113276
110,Braveheart,1995,1,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3,tt0112573
111,Taxi Driver,1976,1,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",8.2,tt0075314
112,Rumble in the Bronx,1995,1,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,6.8,tt0113326
113,Before and After,1996,3,Two parents deal with the effects when their son is accused of murdering his girlfriend.,6.1,tt0115645
114,Margaret's Museum,1995,1,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",7.2,tt0113774
115,Happiness Is in the Field,1995,,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called ""where are y...",7.0,tt0112556
116,Anne Frank Remembered,1995,2,"Tells the story of the Frank family and paints a portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust.",8.1,tt0112373
117,The Young Poisoner's Handbook,1995,1,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes interested in science, especially chemistry, and b...",7.0,tt0115033
118,If Lucy Fell,1996,1,Two NYC roommates have a pact to jump off Brooklyn Bridge if they haven't found life partners before she's 30. That's less than a month away.,4.9,tt0116606
119,"Steal Big, Steal Little",1995,3,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate ...",4.7,tt0114536
120,Race the Sun,1996,2,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.",5.4,tt0117427
122,Boomerang,1992,1,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,5.6,tt0103859
123,Chungking Express,1994,3,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",7.9,tt0109424
124,"Star Maker, The (Uomo delle stelle, L')",1995,1,A photographer and the types of people he encounters.,7.4,tt0114808
125,Flirting With Disaster,1996,1,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",6.7,tt0116324
126,The NeverEnding Story III,1994,4,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,3.2,tt0110647
129,Pie in the Sky,1995,1,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,5.8,tt0114131
130,Angela,1995,,Rebecca Miller's riveting drama examines how two sisters cope with their mother's mental illness.,6.3,tt0112364
131,Frankie Starlight,1995,1,"A writer with dwarfism shares the story of his unconventional, though not altogether bad, upbringing as his mother struggled to raise him in the mid-20th century with help from a surrogate father.",6.5,tt0113107
132,Jade,1995,1,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he stil...",5.3,tt0113451
133,Nueba Yol,1995,,"The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the ""American Dream"", but soon finds out that things aren't as pretty as he thought.",7.1,tt0114015
134,Sonic Outlaws,1995,,"Within days after the release of Negativland's clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on erasing the piece from the history of rock mus...",7.4,tt0114500
135,Down Periscope,1996,3,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",6.2,tt0116130
136,From the Journals of Jean Seberg,1995,,"Mark Rappaport's creative bio-pic about actress Jean Seberg is presented in a first-person, autobiographical format (with Seberg played by Mary Beth Hurt). He seamlessly interweaves cinema, politics, American society and culture, ...",7.1,tt0113125
137,Man of the Year,1995,,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling of Dirk's decision to send a photograph ...",6.0,tt0113756
138,The Neon Bible,1995,,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portr...",6.2,tt0113952
139,Target,1995,,A cynical woman (Champa) leads exploited workers in a revolt against a cruel landowner (Mohan Agashe) in India,8.1,tt0114618
140,Up Close and Personal,1996,,,,tt0161048
141,The Birdcage,1996,1,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",7.2,tt0115685
142,Shadows (Cienie),1988,1,A married man suffering from midlife crisis obsesses over a girl from his romantic fantasy. He meets her exact duplicate on vacation and helps her get rid of her abusive husband. They run off together but a caller starts blackmail...,3.9,tt0096084
143,Gospa,1995,2,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the ...",4.0,tt0113200
144,The Brothers McMullen,1995,1,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",6.6,tt0112585
145,Bad Boys,1995,1,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,6.8,tt0112442
146,The Amazing Panda Adventure,1995,2,A young American boy visiting China helps his zoologist father rescue a panda cub from unscrupulous poachers while its reserve is threatened with closure from officious bureaucrats.,5.7,tt0112342
147,The Basketball Diaries,1995,1,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,7.3,tt0112461
148,An Awfully Big Adventure,1995,1,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexua...",5.8,tt0112427
149,Amateur,1994,1,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.",6.8,tt0109093
150,Apollo 13,1995,2,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,7.7,tt0112384
151,Rob Roy,1995,1,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",6.9,tt0114287
152,The Addiction,1995,,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",6.5,tt0112288
153,Batman Forever,1995,3,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,tt0112462
154,Belle de jour,1967,,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,7.6,tt0061395
155,Beyond Rangoon,1995,1,An American tourist finds herself in the middle of a political uprising in Burma.,6.5,tt0112495
156,Blue in the Face,1995,1,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",6.6,tt0112541
158,Casper,1995,2,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,6.2,tt0112642
159,Clockers,1995,1,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",6.9,tt0112688
160,Congo,1995,3,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",5.3,tt0112715
161,Crimson Tide,1995,1,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.",7.4,tt0112740
162,Crumb,1994,1,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,8.0,tt0109508
163,Desperado,1995,1,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,7.1,tt0112851
164,Devil in a Blue Dress,1995,1,"A Black war hero is hired to find a mysterious woman, and gets mixed up in a murderous political scandal in 1948 Los Angeles.",6.8,tt0112857
165,Die Hard: With a Vengeance,1995,1,"John McClane is forced out of suspension to play a game of ""Simon Says"" by a terrorist who has planted bombs all around New York City and will detonate them if McClane doesn't do what he says.",7.6,tt0112864
166,The Doom Generation,1995,1,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",6.1,tt0112887
167,Feast of July,1995,1,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.",6.1,tt0113044
168,First Knight,1995,3,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",6.0,tt0113071
169,Free Willy 2: The Adventure Home,1995,2,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,5.1,tt0113114
170,Hackers,1995,3,Teenage hackers discover a criminal conspiracy with plans to use a computer virus that will capsize five oil tankers.,6.2,tt0113243
171,Jeffrey,1995,1,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,6.8,tt0113464
172,Johnny Mnemonic,1995,1,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",5.6,tt0113481
173,Judge Dredd,1995,1,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",5.6,tt0113492
174,Jury Duty,1995,3,Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.,4.3,tt0113500
175,Kids,1995,5,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",7.0,tt0113540
176,Living in Oblivion,1995,1,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,7.5,tt0113677
177,Lord of Illusions,1995,1,A private detective guards an illusionist's beautiful Wife.,6.0,tt0113690
179,Mad Love,1995,3,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,5.3,tt0113729
180,Mallrats,1995,1,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",7.0,tt0113749
181,Mighty Morphin Power Rangers: The Movie,1995,,A behind the scenes look at the making of 'Mighty Morphin Power Rangers the Movie'.,6.3,tt0899194
182,Moonlight and Valentino,1995,1,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.,5.7,tt0113851
184,Nadja,1994,1,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are bei...",6.0,tt0110620
185,The Net,1995,3,"When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.",6.0,tt0113957
186,Nine Months,1995,3,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",5.5,tt0113986
