director_id,director
359,Richard Rush
360,Michael Ritchie
361,Gregg Champion
362,Marco Brambilla
363,Bruce Brown
364,Carl Reiner
365,Kaige Chen
366,Peter Weir
367,Alek Keshishian
368,Steve Kloves
369,John Irvin
370,Simon Wincer
371,Boaz Yakin
372,Rose Troche
373,Bruce Beresford
374,Sidney Lumet
375,Jim Abrahams
376,Julianna Lavin
377,Christopher Monger
378,Bille August
379,Eric Meza
380,Joel Coen
381,Ethan Coen
382,James L. Brooks
383,Daniel Petrie Jr.
384,Jim Sheridan
385,Matty Rich
386,Steven Spielberg
387,Dominic Sena
388,Daniel Petrie
389,James Lapine
390,David Cronenberg
391,Stuart Baird
392,Nagisa Ôshima
393,Tom Noonan
394,Kenneth Branagh
395,Anthony Minghella
396,Mike Leigh
397,Michael Tolkin
398,Jonathan Demme
399,Jane Campion
400,Mel Smith
401,Penny Marshall
402,Philip Kaufman
403,Alan Parker
404,Fred Dekker
405,Peter Medak
406,Geoffrey Wright
407,Victor Nunez
408,Tim Hunter
409,Cyril Collard
410,Steven Zaillian
411,Chris Menges
412,John Waters
413,Russell Mulcahy
414,Richard Attenborough
415,Gillies MacKinnon
416,Steve Rash
417,Rowdy Herrington
418,Jean Valjean
419,Annabel Jankel
420,Rocky Morton
421,Ernest R. Dickerson
422,Deran Sarafian
423,François Girard
424,Andrew Fleming
425,Henry Selick
426,George P. Cosmatos
427,Heywood Gould
428,Chris Hegedus
429,D.A. Pennebaker
430,Pier Paolo Pasolini
431,Pixote Hunt
432,Jerry Ciccoritti
433,Jennifer Warren
434,Paul Thomas
435,Todd Solondz
436,Claude Berri
437,Dennis Hopper
438,Guillermo del Toro
439,Pedro Almodóvar
440,Gurinder Chadha
441,Andrew Scheinman
442,Åke Sandgren
443,Eva Sereny
444,George Miller
445,Ricky Tognazzi
446,Michael Austin
447,Rob Epstein
448,Jeffrey Friedman
449,María Luisa Bemberg
450,Betty Thomas
451,Ron Clements
452,John Musker
453,Kevin Costner
454,Steve Cohen
455,William Cottrell
456,David Hand
457,Wilfred Jackson
458,Gary Trousdale
459,Kirk Wise
460,Norman Ferguson
461,T. Hee
462,Sam Peckinpah
463,C.M. Talkington
464,Jianxin Huang
465,Jean Bach
466,Sam Weisman
467,Stephen Surjik
468,Bill Condon
469,Stephen Poliakoff
470,David R. Ellis
471,Gerald Potterton
472,John Bruno
473,John Halas
474,Kevin Yagher
475,Matt Reeves
476,Franco Zeffirelli
477,Anna Campion
478,Wolfgang Reitherman
479,Bill Couturié
480,Werner Herzog
481,André Téchiné
482,Vern Oakley
483,Mika Kaurismäki
484,Martin Lawrence
485,Stacy Title
486,Gregory Hoblit
487,Clement Virgo
488,Bruno Barreto
489,Larry Leker
490,Paul Sabella
491,Hal Salwen
492,Jonathan R. Betuel
493,Richard Pearce
494,Todd Verow
495,Jonathan Lynn
496,Jeremiah S. Chechik
497,Hervé Palud
498,Martin Enlen
499,Carlo Rola
500,Ed Herzog
501,Claude Sautet
502,Pen Densham
503,Park Chul-Soo
504,Rob Cohen
505,Joseph Vilsmaier
506,Richard Wherrett
507,René Clément
508,Anthony Hopkins
509,Paul Mazursky
510,Emir Kusturica
511,Satyajit Ray
512,Jim Mallon
513,Helen De Michiel
514,Joe Pytka
515,Roger Vadim
516,Brett Piper
517,Jean-Luc Godard
518,Bertrand Tavernier
519,Claude Chabrol
520,Gordon Willis
521,Michael Blakemore
522,Norberto Barba
523,Robert Mandel
524,Pat Verducci
525,Michael Winterbottom
526,Steven Baigelman
527,Barry Caillier
528,Patrick Read Johnson
529,Stijn Coninx
530,John Cassavetes
531,Stacy Cochran
532,Britt Allcroft
533,Mark Joffe
534,Steve Gomer
535,George Scribner
536,Tom DeCerchio
537,Alan Shapiro
538,Angela Pope
539,Betty Kaplan
540,Jim Jarmusch
541,Jean-Paul Rappeneau
542,Jack Hill
543,Manuel Gómez Pereira
544,Jean-Marie Poiré
545,Nick Park
546,Brett Thompson
547,Gaylene Preston
548,Phil Joanou
549,Larry Cohen
550,Fred Williamson
551,Mitchell Kozuchowski
552,Harvey Miller
553,Michele Soavi
554,David Hogan
555,Gabriel Barylli
556,Mamoru Oshii
557,Tom Holland
558,Rick Friedberg
559,Udayan Prasad
560,Abraham Polonsky
561,David Twohy
562,Robert Z. Leonard
563,Guy Maddin
564,John O'Brien
565,Kevin James Dobson
566,Victor Saville
567,Ebrahim Forouzesh
568,Freida Lee Mock
569,Kevin Gorman
570,David Keating
571,James Mangold
572,Francis Ford Coppola
573,Mary Harron
574,Charles Matthau
575,Goran Paskaljevic
576,Chris Hunt
577,Julio de Fleischner
578,Jean-Pierre Bekolo
579,Djibril Diop Mambéty
580,Gaston Kaboré
581,Federico Fellini
582,Victoria Foyt
583,Robby Henson
584,Scott Winant
585,Bobby Farrelly
586,Peter Farrelly
587,Gyula Gazdag
588,Mel Chionglo
589,Christopher Larkin
590,Laurent Heynemann
591,Bronwen Hughes
592,Nicole Holofcener
593,Fraser C. Heston
594,Kevin Hooks
595,Howard Franklin
596,Mitch Marcus
597,Nicolas Roeg
598,Arlene Sanford
599,Maurizio Nichetti
600,Paul Turner
601,Peter Sehr
602,Manoel de Oliveira
603,John Payson
604,Hugh Wilson
605,Nigel Finch
606,Hart Bochner
607,Doug Ellin
608,Annette Haywood-Carter
609,Danny DeVito
610,Douglas McGrath
611,Tim Pope
612,Harry Winer
613,John Rubino
614,Ho Yim
615,Marcus DeLeon
616,Lee David Zlotoff
617,Anh Hung Tran
618,Julian Schnabel
619,Don Featherstone
620,Keisuke Kinoshita
621,Leone Pompucci
622,Junli Zheng
623,Jack O'Connell
624,Sönke Wortmann
625,Lisa Krueger
626,Lana Wachowski
627,Lilly Wachowski
628,Arthur Hiller
629,Daniel Schmid
630,Tim Metcalfe
631,Izidore K. Musallam
632,Jim McKay
633,Karim Dridi
634,John Frankenheimer
635,Richard Stanley
636,David Mickey Evans
637,David Koepp
638,Gary Winick
639,Nick Hamm
640,Roy Allen Smith
641,Theo van Gogh
642,Rafael Moleón
643,Joe Chappelle
644,Trevor Nunn
645,Keith Gordon
646,Sam Wood
647,George Cukor
648,Stanley Donen
649,Gene Kelly
650,Vincente Minnelli
651,Blake Edwards
652,Alfred Hitchcock
653,Frank Capra
654,Mark Sandrich
655,Billy Wilder
656,Michael Curtiz
657,John Huston
658,William Wyler
659,Walter Lang
660,William A. Seiter
661,Victor Fleming
662,Norman Taurog
663,Orson Welles
664,Stanley Kubrick
665,Mitchell Leisen
666,Joseph L. Mankiewicz
667,Leo McCarey
668,Ernst Lubitsch
669,Charles Walters
670,William Keighley
671,Rouben Mamoulian
672,Otto Preminger
673,Gregory La Cava
674,George Stevens
675,Elia Kazan
676,W.S. Van Dyke
677,Howard Hawks
678,Michael Anderson
679,John Farrow
680,Victor Sjöström
681,William A. Wellman
682,John Cromwell
683,Archie Mayo
684,Busby Berkeley
685,Henry Koster
686,James Edward Grant
687,Lewis Milestone
688,Howard Hughes
689,George A. Romero
690,Richard Brooks
691,Victor Schertzinger
692,Frank Borzage
693,Edwin L. Marin
694,Josef von Sternberg
695,Thaddeus O'Sullivan
696,Joshua Logan
697,Chris Newby
698,Carroll Ballard
699,Lance Young
700,Ringo Lam
701,Amy Holden Jones
702,Matthew Broderick
703,Campbell Scott
704,Stanley Tucci
705,Robert M. Young
706,John Herzfeld
707,Reb Braddock
708,John Walsh
709,John Gray
710,Robert Lieberman
711,Norman Tokar
712,Norman Foster
713,John Hough
714,Robert Stevenson
715,David Swift
716,Duwayne Dunham
717,Charles Barton
718,Ken Annakin
719,Richard Fleischer
720,William Dear
721,Clyde Geronimi
722,Hamilton Luske
723,Ben Sharpsteen
724,Samuel Armstrong
725,Don Chaffey
726,Don Bluth
727,Ward Kimball
728,Ted Berman
729,Art Stevens
730,Matthew Bright
731,Robert Wise
732,Nick Cassavetes
733,Iara Lee
734,Tom Hanks
735,Michael Pressman
736,Joseph Bologna
737,Renée Taylor
738,Hettie Macdonald
739,Al Pacino
740,Steve Buscemi
741,Ismail Merchant
742,John McNaughton
743,Leon Ichaso
744,Doug Liman
745,Michael Cimino
746,Scott Silver
747,Tad Stones
748,Edward Dmytryk
749,Jack Clayton
750,Charles Crichton
751,John Cleese
752,Terry Jones
753,Arthur Penn
754,John Sturges
755,Fred Zinnemann
756,Frédéric Mitterrand
757,Emile Ardolino
758,Ted Kotcheff
759,Ray Manzarek
760,Alan J. Pakula
761,Michael Covert
762,Nicholas Ray
763,Hugo Van Lawick
764,Erik Burke
765,Claude Nuridsany
766,Marie Pérennou
767,John Francis Sullivan
768,Benoît Jacquot
769,Jaco Van Dormael
770,Milos Forman
771,R.J. Cutler
772,David Van Taylor
773,Mark Rydell
774,Ate de Jong
775,Aaron Speiser
776,Howard Zieff
777,Rick Castro
778,Bruce La Bruce
779,Russ Hexter
780,Sharon Pollack
781,Michael Ray Rhodes
782,Frans Weisz
783,Raúl Ruiz
784,Kurt Miller
785,Peter Speek
786,John L'Ecuyer
787,Leon Gast
788,Daniel Vigne
789,Jan Svankmajer
790,Alfred L. Werker
791,Anthony Mann
792,Norman Z. McLeod
793,Elliott Nugent
794,Volker Schlöndorff
795,Martine Dugowson
796,Nina Menkes
797,Eric Red
798,Barbara Kopple
799,Cathy Caplan
800,Thomas Haneke
801,Phillip Rhee
802,Peter Greenaway
803,Peter Chelsom
804,Gabriele Salvatores
805,Baz Luhrmann
806,Errol Morris
807,Jennie Livingston
808,Lou Adler
809,Tommy Chong
810,Irvin Kershner
811,Terry Gilliam
812,Sergio Leone
813,Bruce Robinson
814,David Lean
815,Nelson Shin
816,Robert Mulligan
817,Richard Marquand
818,Wim Wenders
819,Carol Reed
820,Akira Kurosawa
821,John Ford
822,Andrei Tarkovsky
823,Markus Imhoof
824,George Roy Hill
825,Hal Ashby
826,Ingmar Bergman
827,Bill Forsyth
828,Savage Steve Holland
829,Fritz Lang
830,Jean-Jacques Beineix
831,Allan Moyle
832,Franklin J. Schaffner
833,Katsuhiro Ôtomo
834,Stuart Rosenberg
835,Charles Chaplin
836,James Algar
837,Ford Beebe Jr.
838,Jeannot Szwarc
839,Fred M. Wilcox
840,Phil Alden Robinson
841,Keoni Waxman
842,John G. Young
843,Doug Pray
844,John Murlowski
845,Susan Streitfeld
846,Larry Bishop
847,Jon Sherman
848,Anne Haugsgjerd
849,Herb Gardner
850,Carl Prechezer
851,David Fincher
852,Tony Randel
853,Steve White
854,Damiano Damiani
855,Tom Berry
856,Paul Morrissey
857,Fred Walton
858,Irvin S. Yeaworth Jr.
859,Russell S. Doughten Jr.
860,Jeff Werner
861,James Whale
862,Dan Curtis
863,J. Lee Thompson
864,Paul Schrader
865,F.W. Murnau
866,Kevin Spacey
867,Barbra Streisand
868,Lars von Trier
869,Ole Bornedal
870,Jonathan Frakes
871,Scott Hicks
872,Billy Bob Thornton
873,Michelangelo Antonioni
874,Joe Berlinger
875,Bruce Sinofsky
876,Hans Petter Moland
877,Patrice Leconte
878,Claire Denis
879,Nicholas Meyer
880,William Shatner
881,Leonard Nimoy
882,Randal Kleiser
883,Patricia Birch
884,Daniel J. Sullivan
885,Joseph H. Lewis
886,Joe Alves
887,Alexander Payne
888,Cameron Crowe
889,Anjelica Huston
890,Jerry Zaks
891,Martin Donovan
892,Geoffrey Johnson
893,Mike Judge
894,Mike de Seve
895,Robert Harling
896,Terry George
897,Dan Ireland
898,Albert Brooks
899,Murray Lerner
900,Paul McCartney
901,Robert Young
902,Robert Butler
903,Michael Rymer
904,Thomas Carter
905,Bill Baggs
906,Steven Paul
907,Andrew Birkin
908,Peter Baldwin
909,E. Max Frye
910,Stefan Schwietert
911,Bryan Spicer
912,Jan Sverák
913,Vondie Curtis-Hall
914,Beth Gage
915,George Gage
916,Christopher Guest
917,Sergei Bodrov
918,Craig Rosenberg
919,Paul Miller
920,Bob Spiers
921,Stephen Kessler
922,Jack Fisher
923,David Lynch
924,Peter Spirer
925,Mark Christopher
926,Tom Donaghy
927,Theodore Witcher
928,Greg Mottola
929,Rolf de Heer
930,Mark Dindal
931,Robert Townsend
932,Emma-Kate Croghan
933,Randall Miller
934,Shuki Levy
935,David Winning
936,Hark Tsui
937,George Armitage
938,Leslie Greif
939,Lynne Stopkewich
940,Tom Schulman
941,Jack N. Green
942,Alex Sichel
943,Seth Zvi Rosenfeld
944,Nana Dzhordzhadze
945,David Mirkin
946,Peter Duncan
947,Jay Roach
948,Jonathan Mostow
949,Gregor Nicholas
950,Daniel Taplitz
951,Mo Ogrodnik
952,Kiefer Sutherland
953,L.A. Puopolo
954,Ronny Yu
955,Philip Goodhew
956,Kevin Bacon
957,Jean-Pierre Dardenne
958,Luc Dardenne
959,Joe Mantello
960,Masayuki Suô
961,Dee McLachlan
962,Kevin Allen
963,Griffin Dunne
964,Mark Herman
965,David Hare
966,Jacques Doillon
967,Dr. Philgood
968,Emilio Estevez
969,Clare Peploe
970,Simon West
971,Julia Dyer
972,Laetitia Masson
973,Adrienne Shelly
974,Charlene Prickett
975,Dana Lustig
976,Finn Taylor
977,Jim Wilson
978,Stephen Kay
979,Yvonne Rainer
980,Shin'ya Tsukamoto
981,Mohsen Makhmalbaf
982,Masahisa Sadanaga
983,Scott Michell
984,Shirley Barrett
985,John Milius
986,Mark A.Z. Dippé
987,Charles Martin Smith
988,Neil LaBute
989,Sam Pillsbury
990,Kenneth Johnson
991,Bill Duke
992,Andy Cadiff
993,Brett Ratner
994,John Nicolella
995,Timothy Fong
996,Tony Vitale
997,Miguel Arteta
998,Mimi Leder
999,George Tillman Jr.
1000,Matthew Harrison
1001,Robert Kurtzman
1002,Félix Enríquez Alcalá
1003,John Patrick Kelley
1004,Larry Arrick
1005,Keith Samples
1006,Gavin Wilding
1007,Lionel C. Martin
1008,Peter Cattaneo
1009,John Madden
1010,Jim Gillespie
1011,Taylor Hackford
1012,Andy Wilson
1013,Mark Waters
1014,Andrew Niccol
1015,Charles Sturridge
1016,John O'Hagan
1017,Kasi Lemmons
1018,Jeb Stuart
1019,Jim Kouf
1020,Robert Downey Sr.
1021,Costa-Gavras
1022,Sally Potter
1023,Jonas Pate
1024,Josh Pate
1025,Paul Thomas Anderson
1026,Peter Howitt
1027,John R. Leonetti
1028,Billy Hopkins
1029,Gary Goldman
1030,Robert Duvall
1031,Agnès Merlet
1032,Sean Mathias
1033,Louis Saia
1034,Raja Gosnell
1035,Joel B. Marsden
1036,Monika Harris
1037,Stephen Kijak
1038,Cindy Sherman
1039,Rodney Gibbons
1040,Roger Spottiswoode
1041,Seth Michael Donsky
1042,Gaël Morel
1043,Richard Friedenberg
1044,Alan Rickman
1045,Frank Chindamo
1046,George Mendeluk
1047,Jorge Fons
1048,Darin Scott
1049,Dean Semler
1050,Manny Coto
1051,Mikael Salomon
1052,Stefan Schwartz
1053,Greg Spence
1054,Marshall Herskovitz
1055,Brian Evans
1056,Marvin Baker
1057,Bret Michaels
1058,Charlie Peters
1059,Antoine Fuqua
1060,Michael Radford
1061,Mark Pavia
1062,Kevin Goetz
1063,Michael Goetz
1064,Millicent Shelton
1065,Frank Coraci
1066,Nina Gilden Seavey
1067,Rupert Wainwright
1068,Richard Kwietniowski
1069,Zalman King
1070,David Breashears
1071,Stephen Judson
1072,Greg MacGillivray
1073,Jonathan Darby
1074,Peter O'Fallon
1075,Randall Wallace
1076,John Roberts
1077,Bob Gosse
1078,M. Night Shyamalan
1079,Eugene Garcia
1080,James Toback
1081,Steve Boyum
1082,Michael Moore
1083,Craig Lahiff
1084,David Mamet
1085,Barnet Kellman
1086,Jake Kasdan
1087,Gary Oldman
1088,John Johnson
1089,Anthony Hickox
1090,David DeCoteau
1091,Todd Holland
1092,Sammo Kam-Bo Hung
1093,Abbas Kiarostami
1094,Mike van Diem
1095,Pål Sletaune
1096,John Warren
1097,Larry David
1098,Kirk Wong
1099,Carl Schenkel
1100,Tim McCanlies
1101,Leonid Boyko
1102,Vyacheslav Krishtofovich
1103,Viacheslav Kryshtofovych
1104,James F. Robinson
1105,Jill Sprecher
1106,Thom Fitzgerald
1107,Frederik Du Chau
1108,Warren Beatty
1109,Don Roos
1110,Michael Martin
1111,Erik Skjoldbjærg
1112,Antonio Tibaldi
1113,Scott Reynolds
1114,Caroline Link
1115,Harry Elfont
1116,Deborah Kaplan
1117,Des McAnuff
1118,Lisa Cholodenko
1119,David Leland
1120,Tim Kirkman
1121,Tiffanie DeBartolo
1122,Manuel Pradal
1123,Tony Bancroft
1124,Barry Cook
1125,Marc Evans
1126,Paddy Breathnach
1127,Chris Eyre
1128,Vincent Gallo
1129,Joe Dante
1130,Darren Aronofsky
1131,Susan Skoog
1132,Harry d'Abbadie d'Arrast
1133,Harry Beaumont
1134,Wesley Ruggles
1135,Edmund Goulding
1136,Frank Lloyd
1137,William Dieterle
1138,Laurence Olivier
1139,Robert Rossen
1140,Cecil B. DeMille
1141,Delbert Mann
1142,Jerome Robbins
1143,Hugh Hudson
1144,Alex Cox
1145,Jim Henson
1146,John Hughes
1147,Sean S. Cunningham
1148,Joseph Zito
1149,Tom McLoughlin
1150,Rob Hedden
1151,Rick Rosenthal
1152,Dominique Othenin-Girard
1153,Paul Lynch
1154,Bruce Pittman
1155,John Lafia
1156,Tobe Hooper
1157,Gary Sherman
1158,Rospo Pallenberg
1159,William Peter Blatty
1160,Theresa Connelly
1161,Ronald Neame
1162,Vincent McEveety
1163,Jack Donohue
1164,Adrian Lyne
1165,David Nutter
1166,Gary Nelson
1167,Jeff Blyth
1168,Charles Jarrott
1169,Steven Hilliard Stern
1170,Burny Mattinson
1171,Dave Michener
1172,Kenny Ortega
1173,Fletcher Markle
1174,Nancy Meyers
1175,David Zucker
1176,Sarah Kelly
1177,Sandra Goldbacher
1178,Jacques Tourneur
1179,Peter Masterson
1180,Liliana Cavani
1181,István Szabó
1182,Jeremy Kagan
1183,Hendel Butoy
1184,John Lounsbery
1185,Walter Murch
1186,Les Clark
1187,Eric Larson
1188,Harve Foster
1189,Xavier Koller
1190,Steven Lisberger
1191,Ralph S. Singleton
1192,Ralph Bakshi
1193,Chris Ashbrook
1194,Stephen King
1195,Lewis Teague
1196,Fritz Kiersch
1197,Dan Kuenster
1198,Jesse Peretz
1199,John Hamburg
1200,Jerry Lewis
1201,Charles Nichols
1202,Iwao Takamoto
1203,Martin Rosen
1204,John Hubley
1205,Phil Nibbelink
1206,Michael Chapman
1207,Carol Frank
1208,Ethan Wiley
1209,Jamie Uys
1210,Richard Martin
1211,Clyde Lucas
1212,Kevin Rodney Sullivan
1213,Pupi Avati
1214,Chuck Parello
1215,Peter George
1216,Stephen Norrington
1217,Randa Haines
1218,Alan Cohn
1219,Pat Proft
1220,Brad Anderson
1221,Sarah Kernochan
1222,Bill Plympton
1223,Robert Bierman
1224,François Ozon
1225,Bob Saget
1226,Tsui Hark
1227,William Nicholson
1228,Adrian Brunel
1229,Hugh Croise
1230,Seymour Hicks
1231,Vincenzo Natali
1232,Troy Byer
1233,Lance Hool
1234,Mark Steven Johnson
1235,Robert Towne
1236,Tony Bill
1237,Lewis John Carlino
1238,Tamar Simon Hoffs
1239,Paul Brickman
1240,Peter Sellars
1241,Silvio Narizzano
1242,Charles Band
1243,Jerry Schatzberg
1244,Carl Schultz
1245,Dan Aykroyd
1246,Terry Hughes
1247,Caroline Thomas
1248,David Veloz
1249,Lance Mungia
1250,Jamie Blanks
1251,David Dobkin
1252,Shekhar Kapur
1253,Lindsay Anderson
1254,Piers Haggard
1255,Peter Sellers
1256,Gordon Douglas
1257,Susanna Styron
1258,Eric Darnell
1259,Tim Johnson
1260,Lawrence Guterman
1261,Vincent Ward
1262,John Pieplow
1263,John Maybury
1264,Marc Levin
1265,Arthur Marks
1266,Stefan Ruzowitzky
1267,Evan Dunsky
1268,Gary Ross
1269,Bennett Miller
1270,Roberto Benigni
1271,Trey Parker
1272,John Harrison
1273,Tony Kaye
1274,Richard LaGravenese
1275,Hype Williams
1276,Martin Brest
1277,Bruce McDonald
1278,Andrei Konchalovsky
1279,Eugene Corr
1280,Bryan Forbes
1281,James D. Parriott
1282,Igor Kovalyov
1283,Norton Virgien
1284,Andrew Stanton
1285,Walter Salles
1286,Predrag Antonijevic
1287,Kirk Jones
1288,Thomas Vinterberg
1289,Edward D. Wood Jr.
1290,Ishirô Honda
1291,Kôji Hashimoto
1292,Merian C. Cooper
